,n,Relations,FCY Result
507,35,"[[12, 14]]","(True, 36)"
508,35,"[[13, 15]]","(True, 36)"
509,35,"[[14, 16]]","(True, 36)"
510,35,"[[15, 17]]","(True, 36)"
511,35,"[[16, 18]]","(True, 36)"
512,35,"[[17, 19]]","(True, 36)"
513,35,"[[18, 20]]","(True, 36)"
514,35,"[[19, 21]]","(True, 36)"
515,35,"[[20, 22]]","(True, 36)"
516,35,"[[21, 23]]","(True, 36)"
517,35,"[[22, 24]]","(True, 36)"
518,35,"[[23, 25]]","(True, 36)"
519,35,"[[24, 26]]","(True, 36)"
520,35,"[[25, 27]]","(True, 36)"
521,35,"[[26, 28]]","(True, 36)"
522,35,"[[27, 29]]","(True, 36)"
523,35,"[[28, 30]]","(True, 36)"
524,35,"[[29, 31]]","(True, 36)"
525,35,"[[30, 32]]","(True, 36)"
526,35,"[[31, 33]]","(True, 36)"
527,35,"[[32, 34]]","(True, 36)"
528,36,"[[1, 3]]","(True, 37)"
529,36,"[[2, 4]]","(True, 37)"
530,36,"[[3, 5]]","(True, 37)"
531,36,"[[4, 6]]","(True, 37)"
532,36,"[[5, 7]]","(True, 37)"
533,36,"[[6, 8]]","(True, 37)"
534,36,"[[7, 9]]","(True, 37)"
535,36,"[[8, 10]]","(True, 37)"
536,36,"[[9, 11]]","(True, 37)"
537,36,"[[10, 12]]","(True, 37)"
538,36,"[[11, 13]]","(True, 37)"
539,36,"[[12, 14]]","(True, 37)"
540,36,"[[13, 15]]","(True, 37)"
541,36,"[[14, 16]]","(True, 37)"
542,36,"[[15, 17]]","(True, 37)"
543,36,"[[16, 18]]","(True, 37)"
544,36,"[[17, 19]]","(True, 37)"
545,36,"[[18, 20]]","(True, 37)"
546,36,"[[19, 21]]","(True, 37)"
547,36,"[[20, 22]]","(True, 37)"
548,36,"[[21, 23]]","(True, 37)"
549,36,"[[22, 24]]","(True, 37)"
550,36,"[[23, 25]]","(True, 37)"
551,36,"[[24, 26]]","(True, 37)"
552,36,"[[25, 27]]","(True, 37)"
553,36,"[[26, 28]]","(True, 37)"
554,36,"[[27, 29]]","(True, 37)"
555,36,"[[28, 30]]","(True, 37)"
556,36,"[[29, 31]]","(True, 37)"
557,36,"[[30, 32]]","(True, 37)"
558,36,"[[31, 33]]","(True, 37)"
559,36,"[[32, 34]]","(True, 37)"
560,36,"[[33, 35]]","(True, 37)"
561,37,"[[1, 3]]","(True, 38)"
562,37,"[[2, 4]]","(True, 38)"
563,37,"[[3, 5]]","(True, 38)"
564,37,"[[4, 6]]","(True, 38)"
565,37,"[[5, 7]]","(True, 38)"
566,37,"[[6, 8]]","(True, 38)"
567,37,"[[7, 9]]","(True, 38)"
568,37,"[[8, 10]]","(True, 38)"
569,37,"[[9, 11]]","(True, 38)"
570,37,"[[10, 12]]","(True, 38)"
571,37,"[[11, 13]]","(True, 38)"
572,37,"[[12, 14]]","(True, 38)"
573,37,"[[13, 15]]","(True, 38)"
574,37,"[[14, 16]]","(True, 38)"
575,37,"[[15, 17]]","(True, 38)"
576,37,"[[16, 18]]","(True, 38)"
577,37,"[[17, 19]]","(True, 38)"
578,37,"[[18, 20]]","(True, 38)"
579,37,"[[19, 21]]","(True, 38)"
580,37,"[[20, 22]]","(True, 38)"
581,37,"[[21, 23]]","(True, 38)"
582,37,"[[22, 24]]","(True, 38)"
583,37,"[[23, 25]]","(True, 38)"
584,37,"[[24, 26]]","(True, 38)"
585,37,"[[25, 27]]","(True, 38)"
586,37,"[[26, 28]]","(True, 38)"
587,37,"[[27, 29]]","(True, 38)"
588,37,"[[28, 30]]","(True, 38)"
589,37,"[[29, 31]]","(True, 38)"
590,37,"[[30, 32]]","(True, 38)"
591,37,"[[31, 33]]","(True, 38)"
592,37,"[[32, 34]]","(True, 38)"
593,37,"[[33, 35]]","(True, 38)"
594,37,"[[34, 36]]","(True, 38)"
595,38,"[[1, 3]]","(True, 39)"
596,38,"[[2, 4]]","(True, 39)"
597,38,"[[3, 5]]","(True, 39)"
598,38,"[[4, 6]]","(True, 39)"
599,38,"[[5, 7]]","(True, 39)"
600,38,"[[6, 8]]","(True, 39)"
601,38,"[[7, 9]]","(True, 39)"
602,38,"[[8, 10]]","(True, 39)"
603,38,"[[9, 11]]","(True, 39)"
604,38,"[[10, 12]]","(True, 39)"
605,38,"[[11, 13]]","(True, 39)"
606,38,"[[12, 14]]","(True, 39)"
607,38,"[[13, 15]]","(True, 39)"
608,38,"[[14, 16]]","(True, 39)"
609,38,"[[15, 17]]","(True, 39)"
610,38,"[[16, 18]]","(True, 39)"
